run_id,epoch,loss_train,loss_test,acc_train,acc_test,num_layers,num_epochs,batch_size,hidden_size,learntime
1, 0, 5.88501263,6.15747452,0.85077667,0.90036732,1,100,100,600,0.95000000
1, 1, 5.53726673,5.86595488,0.90477967,0.90953875,1,100,100,600,0.95000000
1, 2, 5.20077896,5.60632992,0.91374362,0.91653889,1,100,100,600,0.95000000
1, 3, 4.81444120,5.30955648,0.92080438,0.91992050,1,100,100,600,0.95000000
1, 4, 4.61740637,5.13529205,0.92375535,0.92549145,1,100,100,600,0.95000000
1, 5, 4.47678804,5.02394056,0.92675751,0.92860532,1,100,100,600,0.95000000
1, 6, 4.36017179,4.95235491,0.92994171,0.92785728,1,100,100,600,0.95000000
1, 7, 4.22057676,4.82436180,0.93243092,0.93050289,1,100,100,600,0.95000000
1, 8, 4.09526730,4.72427368,0.93546683,0.93433446,1,100,100,600,0.95000000
1, 9, 3.97717214,4.69387150,0.93801546,0.93420666,1,100,100,600,0.95000000
1, 10, 3.88717628,4.57815886,0.94035059,0.93822670,1,100,100,600,0.95000000
1, 11, 3.79006338,4.52308416,0.94355911,0.93877417,1,100,100,600,0.95000000
1, 12, 3.71712661,4.46652508,0.94628406,0.94238675,1,100,100,600,0.95000000
1, 13, 3.64991999,4.41784477,0.94953269,0.94168729,1,100,100,600,0.95000000
1, 14, 3.58227158,4.38212776,0.95298475,0.94726443,1,100,100,600,0.95000000
1, 15, 3.53117418,4.34761667,0.95549625,0.95113844,1,100,100,600,0.95000000
1, 16, 3.45621490,4.31151962,0.95993537,0.95376593,1,100,100,600,0.95000000
1, 17, 3.40908623,4.28614998,0.96234053,0.95334023,1,100,100,600,0.95000000
1, 18, 3.36221361,4.27036810,0.96411687,0.95626551,1,100,100,600,0.95000000
1, 19, 3.30613160,4.25635481,0.96635979,0.95771903,1,100,100,600,0.95000000
1, 20, 3.26182914,4.29193783,0.96720600,0.95450175,1,100,100,600,0.95000000
1, 21, 3.19251513,4.25173569,0.96849251,0.95751834,1,100,100,600,0.95000000
1, 22, 3.14984679,4.28874016,0.96938074,0.95626557,1,100,100,600,0.95000000
1, 23, 3.10595202,4.20930529,0.97003609,0.96099705,1,100,100,600,0.95000000
1, 24, 3.06455779,4.27885866,0.97105283,0.95795017,1,100,100,600,0.95000000
1, 25, 3.03285766,4.28070116,0.97148716,0.96017617,1,100,100,600,0.95000000
1, 26, 2.99380040,4.28646517,0.97266239,0.96190327,1,100,100,600,0.95000000
1, 27, 2.96442819,4.29104042,0.97317368,0.96007878,1,100,100,600,0.95000000
1, 28, 2.94501591,4.28925133,0.97345597,0.95944023,1,100,100,600,0.95000000
1, 29, 2.91352725,4.38543415,0.97415715,0.95935500,1,100,100,600,0.95000000
1, 30, 2.88405490,4.32340336,0.97494555,0.96269399,1,100,100,600,0.95000000
1, 31, 2.86301994,4.38169193,0.97547418,0.96208584,1,100,100,600,0.95000000
1, 32, 2.83883142,4.41389179,0.97610104,0.96117961,1,100,100,600,0.95000000
1, 33, 2.82270122,4.40076351,0.97614849,0.96172702,1,100,100,600,0.95000000
1, 34, 2.80634880,4.52349854,0.97642303,0.96055323,1,100,100,600,0.95000000
1, 35, 2.79241776,4.46533728,0.97720337,0.96237779,1,100,100,600,0.95000000
1, 36, 2.78634882,4.46670866,0.97763932,0.96128309,1,100,100,600,0.95000000
1, 37, 2.77641511,4.52696466,0.97763854,0.96068090,1,100,100,600,0.95000000
1, 38, 2.77909899,4.53639889,0.97751683,0.96124035,1,100,100,600,0.95000000
1, 39, 2.77438521,4.53399324,0.97692859,0.96049231,1,100,100,600,0.95000000
1, 40, 2.75505066,4.56089354,0.97843438,0.96154463,1,100,100,600,0.95000000
1, 41, 2.74954128,4.58700752,0.97853792,0.96250552,1,100,100,600,0.95000000
1, 42, 2.72599626,4.61431980,0.97967243,0.96141684,1,100,100,600,0.95000000
1, 43, 2.71971011,4.65437889,0.98001128,0.96251762,1,100,100,600,0.95000000
1, 44, 2.71124053,4.64870834,0.98028868,0.96188504,1,100,100,600,0.95000000
1, 45, 2.70906115,4.67412233,0.98015428,0.96207976,1,100,100,600,0.95000000
1, 46, 2.73848248,4.61457729,0.97850192,0.95783466,1,100,100,600,0.95000000
1, 47, 3.13161278,4.43870497,0.96244764,0.94508713,1,100,100,600,0.95000000
1, 48, 2.89447713,4.43113041,0.97050244,0.95971388,1,100,100,600,0.95000000
1, 49, 2.76838183,4.53354168,0.97685140,0.96147764,1,100,100,600,0.95000000
1, 50, 2.71605968,4.64548826,0.98015076,0.96271837,1,100,100,600,0.95000000
1, 51, 2.69088149,4.71468306,0.98184180,0.96354544,1,100,100,600,0.95000000
1, 52, 2.68279314,4.75789022,0.98237538,0.96287656,1,100,100,600,0.95000000
1, 53, 2.67828584,4.82067728,0.98282188,0.96245074,1,100,100,600,0.95000000
1, 54, 2.67516065,4.83012819,0.98284632,0.96333867,1,100,100,600,0.95000000
1, 55, 2.67272472,4.86168766,0.98301762,0.96296161,1,100,100,600,0.95000000
1, 56, 2.66965032,4.87888193,0.98304462,0.96360630,1,100,100,600,0.95000000
1, 57, 2.66737556,4.89226770,0.98307019,0.96409291,1,100,100,600,0.95000000
1, 58, 2.66515040,4.93193102,0.98344791,0.96340561,1,100,100,600,0.95000000
1, 59, 2.66346073,4.93954659,0.98357201,0.96375227,1,100,100,600,0.95000000
1, 60, 2.66373420,4.92229891,0.98310357,0.96224397,1,100,100,600,0.95000000
1, 61, 2.66413903,4.94858694,0.98224133,0.96214062,1,100,100,600,0.95000000
1, 62, 2.66459751,4.95615435,0.98227501,0.96171486,1,100,100,600,0.95000000
1, 63, 2.66236806,4.98934126,0.98242414,0.96187907,1,100,100,600,0.95000000
1, 64, 2.66067886,4.98929930,0.98236519,0.96291298,1,100,100,600,0.95000000
1, 65, 2.65901852,5.02095318,0.98283625,0.96215886,1,100,100,600,0.95000000
1, 66, 2.65877390,5.05076408,0.98226476,0.96184862,1,100,100,600,0.95000000
1, 67, 2.65963626,5.08129406,0.98165011,0.96031004,1,100,100,600,0.95000000
1, 68, 2.66080213,4.98215771,0.98049366,0.95952541,1,100,100,600,0.95000000
1, 69, 2.65985346,5.06453657,0.98065764,0.96029168,1,100,100,600,0.95000000
1, 70, 2.65802670,5.09123659,0.98081064,0.95970786,1,100,100,600,0.95000000
1, 71, 2.65882874,5.05007505,0.98067379,0.95906937,1,100,100,600,0.95000000
1, 72, 2.66526914,5.09435892,0.97946984,0.95902067,1,100,100,600,0.95000000
1, 73, 2.66492319,5.03520775,0.97916192,0.95937937,1,100,100,600,0.95000000
1, 74, 2.72409654,4.85621881,0.97537047,0.94335377,1,100,100,600,0.95000000
1, 75, 3.03960633,4.63783646,0.95774066,0.94935656,1,100,100,600,0.95000000
1, 76, 2.81604266,4.64801407,0.96888769,0.95523757,1,100,100,600,0.95000000
1, 77, 2.70874929,4.79264927,0.97570163,0.95784074,1,100,100,600,0.95000000
1, 78, 2.67482066,4.88138390,0.97793025,0.95977479,1,100,100,600,0.95000000
1, 79, 2.66099572,5.01198721,0.97969520,0.95890504,1,100,100,600,0.95000000
1, 80, 2.65514421,5.06088400,0.98041666,0.96021265,1,100,100,600,0.95000000
1, 81, 2.65177131,5.12474060,0.98133713,0.96044987,1,100,100,600,0.95000000
1, 82, 2.65016294,5.13673544,0.98143792,0.96084517,1,100,100,600,0.95000000
1, 83, 2.64901614,5.18299103,0.98157454,0.96102762,1,100,100,600,0.95000000
1, 84, 2.64841199,5.21516609,0.98148143,0.96121615,1,100,100,600,0.95000000
1, 85, 2.64896584,5.22192574,0.98137426,0.96052277,1,100,100,600,0.95000000
1, 86, 2.64831710,5.23429871,0.98127127,0.96001792,1,100,100,600,0.95000000
1, 87, 2.64862299,5.24995089,0.98079360,0.96040726,1,100,100,600,0.95000000
1, 88, 2.64716482,5.26073551,0.98098654,0.96007884,1,100,100,600,0.95000000
1, 89, 2.64590240,5.30973196,0.98145628,0.96069914,1,100,100,600,0.95000000
1, 90, 2.64577055,5.31569529,0.98175132,0.96055931,1,100,100,600,0.95000000
1, 91, 2.64547205,5.36018419,0.98173320,0.96113706,1,100,100,600,0.95000000
1, 92, 2.64479876,5.35681009,0.98172557,0.96100324,1,100,100,600,0.95000000
1, 93, 2.64461446,5.36694050,0.98148602,0.96071750,1,100,100,600,0.95000000
1, 94, 2.64541101,5.31290340,0.98107183,0.96031600,1,100,100,600,0.95000000
1, 95, 2.64438581,5.35387087,0.98073369,0.96035862,1,100,100,600,0.95000000
1, 96, 2.64566207,5.36911917,0.98059416,0.95952541,1,100,100,600,0.95000000
1, 97, 2.64856362,5.30414295,0.97856289,0.95832723,1,100,100,600,0.95000000
1, 98, 2.64795041,5.32046318,0.97791654,0.95816314,1,100,100,600,0.95000000
1, 99, 2.69785595,5.13317394,0.97501248,0.94792116,1,100,100,600,0.95000000
2, 0, 5.87118340,6.13654327,0.85341358,0.89873135,1,100,100,700,1.04000000
2, 1, 5.45244408,5.81895208,0.90632951,0.90966034,1,100,100,700,1.04000000
2, 2, 5.05273294,5.41529322,0.91540509,0.91887444,1,100,100,700,1.04000000
2, 3, 4.67519999,5.11932707,0.92214239,0.92722464,1,100,100,700,1.04000000
2, 4, 4.45007610,5.00594282,0.92829090,0.92816740,1,100,100,700,1.04000000
2, 5, 4.31420803,4.90925312,0.93154901,0.92976087,1,100,100,700,1.04000000
2, 6, 4.18300915,4.81227446,0.93422908,0.93080693,1,100,100,700,1.04000000
2, 7, 4.07405996,4.72659588,0.93622357,0.93213874,1,100,100,700,1.04000000
2, 8, 3.95314169,4.61269712,0.93944764,0.93525267,1,100,100,700,1.04000000
2, 9, 3.86500812,4.58097887,0.94250476,0.93951601,1,100,100,700,1.04000000
2, 10, 3.79354906,4.48826504,0.94496679,0.93978369,1,100,100,700,1.04000000
2, 11, 3.72767305,4.47419500,0.94893682,0.94131631,1,100,100,700,1.04000000
2, 12, 3.64739776,4.42964935,0.95255363,0.94422346,1,100,100,700,1.04000000
2, 13, 3.58304977,4.42570734,0.95690191,0.94689941,1,100,100,700,1.04000000
2, 14, 3.53008175,4.34941864,0.95901418,0.95192915,1,100,100,700,1.04000000
2, 15, 3.48221898,4.35185099,0.96119255,0.95371723,1,100,100,700,1.04000000
2, 16, 3.40813994,4.30220413,0.96521908,0.95709264,1,100,100,700,1.04000000
2, 17, 3.34253740,4.38733673,0.96785367,0.95533496,1,100,100,700,1.04000000
2, 18, 3.30209994,4.29612112,0.96842164,0.95680684,1,100,100,700,1.04000000
2, 19, 3.24001336,4.23716021,0.96959299,0.96125871,1,100,100,700,1.04000000
2, 20, 3.18681622,4.27074289,0.97078007,0.96149582,1,100,100,700,1.04000000
2, 21, 3.15522099,4.29175043,0.97138214,0.96026123,1,100,100,700,1.04000000
2, 22, 3.10349655,4.28603983,0.97255403,0.96080256,1,100,100,700,1.04000000
2, 23, 3.04358602,4.30330133,0.97354537,0.96099097,1,100,100,700,1.04000000
2, 24, 3.01806307,4.27750349,0.97410226,0.96277308,1,100,100,700,1.04000000
2, 25, 2.97097325,4.28765869,0.97450835,0.96320480,1,100,100,700,1.04000000
2, 26, 2.93802381,4.30827427,0.97558862,0.96143508,1,100,100,700,1.04000000
2, 27, 2.91046214,4.38503981,0.97622675,0.96237785,1,100,100,700,1.04000000
2, 28, 2.90859103,4.37612772,0.97639054,0.96270621,1,100,100,700,1.04000000
2, 29, 2.88127089,4.39144897,0.97706330,0.96270621,1,100,100,700,1.04000000
2, 30, 2.85113740,4.43609095,0.97792083,0.96396506,1,100,100,700,1.04000000
2, 31, 2.83294773,4.40609026,0.97857720,0.96415985,1,100,100,700,1.04000000
2, 32, 2.85068202,4.54367399,0.97792083,0.96211624,1,100,100,700,1.04000000
2, 33, 2.94603205,4.38639736,0.97517085,0.96132565,1,100,100,700,1.04000000
2, 34, 2.84395957,4.46129417,0.97806013,0.96385568,1,100,100,700,1.04000000
2, 35, 2.78271031,4.47759008,0.98064643,0.96487135,1,100,100,700,1.04000000
2, 36, 2.75977206,4.49058819,0.98140073,0.96473145,1,100,100,700,1.04000000
2, 37, 2.73939347,4.51456213,0.98206753,0.96605730,1,100,100,700,1.04000000
2, 38, 2.72783160,4.59845495,0.98263580,0.96490771,1,100,100,700,1.04000000
