Phon,Front,Cent.,Back,Close,C-mid,Mid,O-mid,N-open,Open,Tense,Rnd.,y_,w_,1ary,2ary,Start,End
AA2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AE2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
AH2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
AO2,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
AW2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
AX2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AXR2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
AY2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
EH2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0
ER2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
EY2,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0
IH2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
IX2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
IY2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
OW2,0,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0
OY2,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0
UH2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
UW2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0
UX2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
