orth,latency,word_type,regularity
bink,601,pseudoword,regular
bole,608,pseudoword,regular
bope,623,pseudoword,regular
brean,613,pseudoword,regular
broff,639,pseudoword,regular
darge,539,pseudoword,regular
doop,623,pseudoword,regular
dreap,658,pseudoword,regular
gomp,603,pseudoword,regular
gobe,612,pseudoword,regular
keal,582,pseudoword,regular
beash,681,pseudoword,regular
kulp,581,pseudoword,regular
peam,591,pseudoword,regular
peem,572,pseudoword,regular
kede,630,pseudoword,regular
pilt,613,pseudoword,regular
ploon,542,pseudoword,regular
pote,612,pseudoword,regular
poom,607,pseudoword,regular
drait,608,pseudoword,regular
tafe,557,pseudoword,regular
ting,598,pseudoword,regular
tife,655,pseudoword,regular
tolt,547,pseudoword,regular
troat,606,pseudoword,regular
bint,612,pseudoword,exception
bose,674,pseudoword,exception
bove,646,pseudoword,exception
breat,653,pseudoword,exception
bross,604,pseudoword,exception
daste,633,pseudoword,exception
doot,630,pseudoword,exception
dreak,664,pseudoword,exception
gomb,703,pseudoword,exception
gome,617,pseudoword,exception
kead,595,pseudoword,exception
beath,732,pseudoword,exception
kull,587,pseudoword,exception
peaf,643,pseudoword,exception
peen,584,pseudoword,exception
kere,685,pseudoword,exception
pild,648,pseudoword,exception
plood,612,pseudoword,exception
pone,603,pseudoword,exception
pook,590,pseudoword,exception
draid,656,pseudoword,exception
tave,562,pseudoword,exception
tind,608,pseudoword,exception
tive,618,pseudoword,exception
tost,605,pseudoword,exception
troad,551,pseudoword,exception
