word,freq,rank,Syllable,Contraction,Comments
annabelles,3,3741,3,,
arrooff,3,3749,2,,
backhome,3,3757,2,,
bananamobile,3,3765,5,,
banderilleros,3,3766,,,pronunciation?
beezle,3,3774,2,,
belleisle,3,3777,3,,
bluuuuub,3,3790,1,,
brrm,3,3808,1,,
bunnn,3,3814,1,,
burnie,3,3815,2,,
cheep,3,3840,1,,
chica,3,3841,2,,
choppa,3,3845,2,,
clothesline,3,3858,2,,
clucked,3,3862,1,,
comin,3,3870,2,,
cottontail,3,3881,3,,
cutlets,3,3902,2,,
daddie,3,3905,2,,
dapple,3,3908,2,,
ded,3,3912,1,,
efg,3,3944,3,,
fairys,3,3966,2,,
fie,3,3974,1,,
flopsy,3,3987,2,,
fourpence,3,3995,2,,
freezy,3,3997,2,,
fritzs,3,3999,2,,
frrooggyy,3,4003,2,,
googies,3,4021,2,,
google,3,4022,2,,
grickle,3,4027,2,,
grop,3,4031,1,,
hesters,3,4050,2,,
humpf,3,4064,1,,
humpy,3,4065,2,,
huppa,3,4067,2,,
irenes,3,4084,2,,
jelf,3,4088,1,,
jj,3,4091,"1, 2",,sublist
katies,3,4098,2,,
kuplank,3,4106,2,,
lazybones,3,4117,3,,
littleman,3,4126,3,,
logpile,3,4128,3,,
loots,3,4132,1,,
marthas,3,4143,2,,
maxs,3,4148,2,,
mcsmogg,3,4149,2,,
meringue,3,4157,2,,
microchiroptera,3,4159,6,,
moppet,3,4170,2,,
mopsy,3,4171,2,,
muffet,3,4176,2,,
musnt,3,4179,,TRUE,
mustnt,3,4180,,TRUE,
naptime,3,4185,2,,
nelsons,3,4193,2,,
oo,3,4209,1,,sublist
ouack,3,4212,,,pronunciation?
pascals,3,4225,2,,
picadores,3,4239,4,,
playin,3,4249,2,,
prickles,3,4267,2,,
pterosaur,3,4271,,,pronunciation?
purred,3,4273,1,,
raja,3,4282,2,,
raow,3,4284,1,,
ringman,3,4295,2,,
roly,3,4300,2,,
rumpelstiltskin,3,4307,4,,
scaly,3,4319,2,,
shaftoe,3,4333,2,,
shhhhhh,3,4337,1,,
snuggles,3,4362,2,,
someones,3,4365,2,,
squiggly,3,4383,2,,
stellalunas,3,4387,4,,
taffys,3,4415,2,,
toolshed,3,4435,2,,
trixies,3,4443,2,,
twirly,3,4450,2,,
twopence,3,4451,2,,
