cycle, word, train_test, phonlength, binary_acc, mse, loss
9, ink, train, 4, 1.0, 1.1416317647672258e-05, 0.0005717663443647325
9, cab, train, 4, 1.0, 1.4757847566215787e-07, 7.49725368223153e-05
9, dice, train, 4, 1.0, 1.4553065419420363e-09, 9.049346772371791e-06
9, dumb, train, 4, 0.9772727489471436, 0.022639576345682144, 0.18840332329273224
9, hone, train, 4, 1.0, 7.256063690874726e-05, 0.0012239133939146996
9, dirt, train, 4, 1.0, 9.065374229066947e-07, 0.00016074374434538186
9, brew, train, 4, 1.0, 9.86056838883087e-05, 0.0011285832151770592
9, mad, train, 4, 1.0, 4.618985656179575e-07, 0.00011267497029621154
9, tomb, train, 4, 0.9848484992980957, 0.011290783993899822, 0.031009430065751076
9, hedge, train, 4, 1.0, 1.2562875781441107e-05, 0.0005154156824573874
9, pry, train, 4, 1.0, 2.2727081159246154e-06, 0.0004072306037414819
9, shack, train, 4, 1.0, 2.8346269118628697e-06, 0.00034263409906998277
9, sop, train, 4, 1.0, 4.1445119336458447e-07, 9.260124352294952e-05
9, nine, train, 4, 1.0, 4.6950425769409776e-08, 3.711143654072657e-05
9, lit, train, 4, 1.0, 0.0012245646212249994, 0.005545289255678654
9, dodge, train, 4, 1.0, 6.548362421199272e-07, 0.00013383623445406556
9, pall, train, 4, 0.9924242496490479, 0.005583842284977436, 0.015944112092256546
9, core, train, 4, 1.0, 4.085447471879888e-06, 0.00046106940135359764
9, meal, train, 4, 1.0, 8.308110643895361e-09, 1.5205030649667606e-05
9, loath, train, 4, 1.0, 1.316899727044074e-07, 8.625054761068895e-05
9, name, train, 4, 1.0, 7.80045138526475e-06, 0.0003417970146983862
9, flea, train, 4, 0.9848484992980957, 0.015118272043764591, 0.0709102675318718
9, sun, train, 4, 1.0, 1.943177210250724e-07, 8.958880789577961e-05
9, side, train, 4, 1.0, 1.1125770242870203e-06, 0.0001340892631560564
9, folk, train, 4, 0.9772727489471436, 0.01351089496165514, 0.038368549197912216
9, aft, train, 4, 1.0, 0.0017472794279456139, 0.007753762882202864
9, zen, train, 4, 0.9772727489471436, 0.008690429851412773, 0.02338394708931446
9, sag, train, 4, 1.0, 3.6775205103367625e-08, 3.554996874299832e-05
9, reap, train, 4, 1.0, 1.0707506135076983e-06, 0.00019684957806020975
9, lace, train, 4, 1.0, 3.296307449218716e-09, 1.2443322702893056e-05
9, whore, train, 4, 1.0, 2.2243622879614122e-05, 0.0010358199942857027
9, flew, train, 4, 1.0, 4.117030039196834e-05, 0.000698055315297097
9, lean, train, 4, 1.0, 7.625118314535939e-09, 1.4285914403444622e-05
9, nut, train, 4, 1.0, 1.6369431250495836e-05, 0.0005032344488427043
9, flay, train, 4, 1.0, 5.407588469097391e-05, 0.0011632160749286413
9, seep, train, 4, 1.0, 3.499939793982776e-06, 0.00025009980890899897
9, taught, train, 4, 0.9924242496490479, 0.006559082772582769, 0.018592985346913338
9, rail, train, 4, 1.0, 2.1584767306848107e-09, 1.1614465620368719e-05
9, jig, train, 4, 1.0, 8.119294570008151e-09, 1.816899202822242e-05
9, nape, train, 4, 1.0, 2.1041935269749956e-06, 0.00014936632942408323
9, sheik, train, 4, 1.0, 1.884310663058386e-08, 2.7049660275224596e-05
9, neck, train, 4, 1.0, 1.1038318916689605e-06, 0.00011683248158078641
9, beak, train, 4, 1.0, 4.398728048471412e-09, 1.4222604477254208e-05
9, hooch, train, 4, 1.0, 6.148054580989992e-07, 0.00014372647274285555
9, coupe, train, 4, 1.0, 0.00011693104170262814, 0.0016173087060451508
9, jock, train, 4, 1.0, 4.504919459691337e-08, 4.057778642163612e-05
9, mill, train, 4, 0.9772727489471436, 0.019853219389915466, 0.06558661162853241
9, cause, train, 4, 1.0, 4.557256033876911e-05, 0.0006523658521473408
9, sky, train, 4, 1.0, 8.178705684258603e-06, 0.0005415495834313333
9, nil, train, 4, 1.0, 1.1723971056198934e-06, 0.00012813397916033864
9, noon, train, 4, 1.0, 7.088062403681761e-08, 5.652411709888838e-05
9, bathe, train, 4, 1.0, 1.6357548702217173e-06, 0.0002368686837144196
9, mice, train, 4, 1.0, 1.3533835385715065e-08, 1.950375735759735e-05
9, path, train, 4, 1.0, 0.0011801539221778512, 0.005259627476334572
9, sloe, train, 4, 1.0, 2.4050330466707237e-05, 0.0005369755090214312
9, sight, train, 4, 1.0, 4.705119849290895e-08, 5.948739999439567e-05
9, king, train, 4, 0.9848484992980957, 0.011980285868048668, 0.03708048537373543
9, laid, train, 4, 1.0, 2.94261468525292e-07, 8.284670911962166e-05
9, sole, train, 4, 1.0, 1.8904522391949286e-07, 9.884552855510265e-05
9, loin, train, 4, 1.0, 2.811767672028509e-06, 0.00027905567549169064
9, berth, train, 4, 1.0, 4.932290539727546e-05, 0.0009632500587031245
9, choke, train, 4, 1.0, 6.204166766110575e-06, 0.0003181104548275471
9, stay, train, 4, 1.0, 7.206622831290588e-05, 0.0012852259678766131
9, nail, train, 4, 1.0, 4.272151841178129e-07, 0.0001016807509586215
9, judge, train, 4, 1.0, 3.775434631592134e-09, 2.1054580429336056e-05
9, sear, train, 4, 1.0, 1.8541688007189805e-07, 7.833295967429876e-05
9, town, train, 4, 0.9924242496490479, 0.003249904839321971, 0.010168081149458885
9, gouge, train, 4, 1.0, 0.000895004952326417, 0.004583524074405432
9, yore, train, 4, 1.0, 2.0809642592212185e-05, 0.0005208257935009897
9, gas, train, 4, 1.0, 2.843339643732179e-07, 0.00011703770724125206
9, sit, train, 4, 1.0, 5.1945142331533134e-05, 0.0010961655061692
9, tack, train, 4, 1.0, 9.384391159983352e-05, 0.0010138882789760828
9, nor, train, 4, 1.0, 1.994914555325522e-06, 0.00020165038586128503
9, leaf, train, 4, 1.0, 1.805650185815466e-06, 0.00017087938613258302
9, tore, train, 4, 1.0, 2.566808689152822e-06, 0.0002214528649346903
9, fought, train, 4, 1.0, 0.0010941002983599901, 0.0049607474356889725
9, den, train, 4, 0.9924242496490479, 0.005270414520055056, 0.014458440244197845
9, like, train, 4, 1.0, 3.01840628935679e-07, 6.374129588948563e-05
9, reach, train, 4, 1.0, 1.1974352673860267e-06, 0.00016416811558883637
9, crew, train, 4, 1.0, 1.8915308430678124e-07, 6.284958362812176e-05
9, moss, train, 4, 1.0, 0.00019264117872808129, 0.003031074767932296
9, young, train, 4, 0.9772727489471436, 0.012043377384543419, 0.03286214545369148
9, chip, train, 4, 1.0, 1.8523654944146983e-05, 0.000696950766723603
9, curl, train, 4, 1.0, 1.082016751752235e-05, 0.0005145974573679268
9, bug, train, 4, 1.0, 4.3369571045559496e-08, 3.696697240229696e-05
