cycle, train_test, phonlength, binary_acc, mse, loss
9, train, 4, 0.9998960494995117, 9.523382323095575e-05, 0.0005246690707281232
9, train, 5, 0.9970256686210632, 0.002267866162583232, 0.008577651344239712
9, train, 6, 0.9978063106536865, 0.0017000549705699086, 0.006345825269818306
9, train, 7, 0.9991341829299927, 0.0006807562313042581, 0.0024326022248715162
9, train, 8, 1.0, 9.47368583581465e-09, 2.6567844543023966e-05
9, test, 4, 0.9946969747543335, 0.00465389946475625, 0.023243999108672142
9, test, 5, 0.9936161041259766, 0.005574673414230347, 0.02421059086918831
9, test, 6, 0.98124098777771, 0.016330545768141747, 0.08427505195140839
