cycle, word, train_test, phonlength, binary_acc, mse, loss
9, ink, train, 4, 0.9621212482452393, 0.03231300041079521, 0.10071790218353271
9, cab, train, 4, 0.9545454978942871, 0.03581128269433975, 0.13379758596420288
9, dice, train, 4, 0.9166666865348816, 0.05756569653749466, 0.19399456679821014
9, dumb, train, 4, 0.9545454978942871, 0.03324420377612114, 0.138688862323761
9, hone, train, 4, 0.9393939971923828, 0.04232539236545563, 0.1624184548854828
9, dirt, train, 4, 0.9166666865348816, 0.06378895044326782, 0.21518167853355408
9, brew, train, 4, 0.939393937587738, 0.05359717085957527, 0.2286449372768402
9, mad, train, 4, 0.9621212482452393, 0.03925632685422897, 0.16010159254074097
9, tomb, train, 4, 0.946969747543335, 0.04817751795053482, 0.19023093581199646
9, hedge, train, 4, 0.939393937587738, 0.053703729063272476, 0.2240554392337799
9, pry, train, 4, 0.9621212482452393, 0.0427783764898777, 0.1792902648448944
9, shack, train, 4, 0.9621212482452393, 0.036778129637241364, 0.1436229944229126
9, sop, train, 4, 0.9621212482452393, 0.028075840324163437, 0.0960317999124527
9, nine, train, 4, 0.9393939971923828, 0.037251781672239304, 0.1377478986978531
9, lit, train, 4, 0.9621212482452393, 0.03246019035577774, 0.11420172452926636
9, dodge, train, 4, 0.939393937587738, 0.047611549496650696, 0.2105996459722519
9, pall, train, 4, 0.9545454978942871, 0.033568572252988815, 0.1615581065416336
9, core, train, 4, 0.9621212482452393, 0.03006572276353836, 0.12557002902030945
9, meal, train, 4, 0.9545454978942871, 0.03307998180389404, 0.13712723553180695
9, loath, train, 4, 0.9015151858329773, 0.05965894088149071, 0.18480634689331055
9, name, train, 4, 0.9393939971923828, 0.04114609956741333, 0.1545388549566269
9, flea, train, 4, 0.9621212482452393, 0.032647889107465744, 0.14859811961650848
9, sun, train, 4, 0.939393937587738, 0.03385221213102341, 0.11974554508924484
9, side, train, 4, 0.9393939971923828, 0.055168427526950836, 0.201013445854187
9, folk, train, 4, 0.9090909361839294, 0.06579931080341339, 0.24041929841041565
9, aft, train, 4, 0.9242424964904785, 0.03756077215075493, 0.11859920620918274
9, zen, train, 4, 0.9696969985961914, 0.0347231961786747, 0.1357874870300293
9, sag, train, 4, 0.9545454978942871, 0.03230488300323486, 0.11964938789606094
9, reap, train, 4, 0.9393939971923828, 0.045154109597206116, 0.16647781431674957
9, lace, train, 4, 0.9242424368858337, 0.05010973662137985, 0.1711755394935608
9, whore, train, 4, 0.9318181872367859, 0.049993425607681274, 0.1898660957813263
9, flew, train, 4, 0.9242424368858337, 0.05424204096198082, 0.2084607630968094
9, lean, train, 4, 0.939393937587738, 0.036707803606987, 0.1346023827791214
9, nut, train, 4, 0.9545454978942871, 0.03513401746749878, 0.11481301486492157
9, flay, train, 4, 0.939393937587738, 0.04370793327689171, 0.1732853204011917
9, seep, train, 4, 0.9393939971923828, 0.047821611166000366, 0.15027058124542236
9, taught, train, 4, 0.9166666865348816, 0.05852382257580757, 0.2045484185218811
9, rail, train, 4, 0.9393939971923828, 0.04403969272971153, 0.15282516181468964
9, jig, train, 4, 0.9393939971923828, 0.04743827134370804, 0.1699378490447998
9, nape, train, 4, 0.9318182468414307, 0.05613468214869499, 0.19405953586101532
9, sheik, train, 4, 0.9393939971923828, 0.05232150852680206, 0.17516934871673584
9, neck, train, 4, 0.9621212482452393, 0.029926687479019165, 0.11123132705688477
9, beak, train, 4, 0.9393939971923828, 0.041917745023965836, 0.1616022288799286
9, hooch, train, 4, 0.9166666865348816, 0.06467249989509583, 0.22855089604854584
9, coupe, train, 4, 0.9242424368858337, 0.06332705169916153, 0.24323062598705292
9, jock, train, 4, 0.9696969985961914, 0.029990196228027344, 0.13628216087818146
9, mill, train, 4, 0.9621212482452393, 0.032300930470228195, 0.14886964857578278
9, cause, train, 4, 0.939393937587738, 0.04966376721858978, 0.18974050879478455
9, sky, train, 4, 0.9545454978942871, 0.038134317845106125, 0.15712562203407288
9, nil, train, 4, 0.9318181872367859, 0.03886980190873146, 0.1345064789056778
9, noon, train, 4, 0.946969747543335, 0.04113801568746567, 0.15361395478248596
9, bathe, train, 4, 0.939393937587738, 0.05093427002429962, 0.1787336766719818
9, mice, train, 4, 0.9090909361839294, 0.05768776684999466, 0.20293675363063812
9, path, train, 4, 0.9318181872367859, 0.04599064588546753, 0.1735479235649109
9, sloe, train, 4, 0.939393937587738, 0.04353505000472069, 0.1666034311056137
9, sight, train, 4, 0.8939393758773804, 0.07351186871528625, 0.25495174527168274
9, king, train, 4, 0.9545454978942871, 0.03642743453383446, 0.13947908580303192
9, laid, train, 4, 0.9318181872367859, 0.0473567396402359, 0.16956067085266113
9, sole, train, 4, 0.9545454978942871, 0.04119562730193138, 0.15831290185451508
9, loin, train, 4, 0.924242377281189, 0.05483722686767578, 0.19439271092414856
9, berth, train, 4, 0.939393937587738, 0.050546176731586456, 0.17834165692329407
9, choke, train, 4, 0.9166666865348816, 0.07014252245426178, 0.2556697130203247
9, stay, train, 4, 0.9318181872367859, 0.048019345849752426, 0.1780574917793274
9, nail, train, 4, 0.946969747543335, 0.034183815121650696, 0.1339384913444519
9, judge, train, 4, 0.9318181872367859, 0.05378570035099983, 0.20421259105205536
9, sear, train, 4, 0.9545454978942871, 0.03840068727731705, 0.1452208161354065
9, town, train, 4, 0.924242377281189, 0.05933743715286255, 0.2071080207824707
9, gouge, train, 4, 0.8863636255264282, 0.0744279995560646, 0.25009122490882874
9, yore, train, 4, 0.9545454978942871, 0.03329353779554367, 0.129015251994133
